NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
Latitude (+ to N),43.12,,01/01/2020,12:00:00,2458850.00,0.20000000,,280.6204381,7557.339162,0.016700222,-0.090730706,280.5297074,7557.248431,0.983319401,280.5192864,23.43669028,23.43632458,-78.55882535,-23.01955121,0.043023327,-3.324228979,67.8995689,12:13:41,7:42:05,16:45:17,543.1965512,706.315771,-3.421057245,66.21453278,23.78546722,0.036391246,23.82185847,176.5590689,
Longitude (+ to E),-2.59,,02/01/2020,12:00:00,2458851.00,0.20002738,,281.6060855,7558.324762,0.01670022,-0.057136368,281.5489491,7558.267626,0.983308163,281.5385275,23.43668992,23.43632656,-77.4555314,-22.9353196,0.043023335,-3.793796422,67.99913826,12:14:09,7:42:09,16:46:09,543.9931061,705.8462036,-3.538449105,66.13563428,23.86436572,0.036257543,23.90062326,176.4366024,
Time Zone (+ to E),0,,03/01/2020,12:00:00,2458852.00,0.20005476,,282.5917329,7559.310362,0.016700219,-0.023524032,282.5682088,7559.286838,0.983302033,282.5577866,23.43668956,23.43632855,-76.35365169,-22.84347165,0.043023342,-4.257827575,68.10749358,12:14:37,7:42:11,16:47:03,544.8599487,705.3821724,-3.654456894,66.04925431,23.95074569,0.036112093,23.98685779,176.3148139,
Local Time (hrs),12:00:00,,04/01/2020,12:00:00,2458853.00,0.20008214,,283.5773802,7560.295963,0.016700218,0.010095711,283.5874759,7560.306058,0.983301013,283.5770531,23.43668921,23.43633054,-75.25331231,-22.74405227,0.04302335,-4.715827995,68.22452764,12:15:05,7:42:11,16:47:58,545.7962211,704.924172,-3.768956999,65.95542787,24.04457213,0.035955193,24.08052733,176.1937939,
Year,2020,,05/01/2020,12:00:00,2458854.00,0.20010951,,284.5630276,7561.281563,0.016700217,0.043712268,284.6067398,7561.325275,0.983305105,284.5963164,23.43668885,23.43633252,-74.15463639,-22.63711012,0.043023357,-5.167313715,68.35012563,12:15:32,7:42:08,16:48:56,546.8010051,704.4726863,-3.881828429,65.85419321,24.14580679,0.035787165,24.18159396,176.073632,
,,,06/01/2020,12:00:00,2458855.00,0.20013689,,285.5486749,7562.267163,0.016700216,0.077315047,285.62599,7562.344478,0.983314305,285.6155659,23.4366885,23.43633451,-73.05774384,-22.52269751,0.043023365,-5.611812005,68.48416554,12:15:58,7:42:02,16:49:55,547.8733244,704.028188,-3.992953001,65.74559175,24.25440825,0.035608344,24.2900166,175.954417,
,,,07/01/2020,12:00:00,2458856.00,0.20016427,,286.5343223,7563.252764,0.016700215,0.110893462,286.6452158,7563.363657,0.983328612,286.6347911,23.43668814,23.4363365,-71.96275119,-22.40087034,0.043023372,-6.048862083,68.6265186,12:16:25,7:41:54,16:50:55,549.0121488,703.5911379,-4.102215521,65.62966803,24.37033197,0.035419084,24.40575105,175.8362367,
,,,08/01/2020,12:00:00,2458857.00,0.20019165,,287.5199697,7564.238364,0.016700213,0.144436934,287.6644066,7564.382801,0.983348021,287.6539813,23.43668778,23.43633849,-70.86977143,-22.27168799,0.04302338,-6.478015815,68.77704968,12:16:50,7:41:44,16:51:57,550.2163974,703.1619842,-4.209503954,65.50646971,24.49353029,0.035219752,24.52875004,175.7191781,
,,,09/01/2020,12:00:00,2458858.00,0.20021903,,288.505617,7565.223964,0.016700212,0.177934899,288.6835519,7565.401899,0.983372526,288.673126,23.43668743,23.43634047,-69.77891378,-22.13521324,0.043023387,-6.898838365,68.93561778,12:17:16,7:41:31,16:53:00,551.4849422,702.7411616,-4.314709591,65.37604744,24.62395256,0.03501073,24.65896329,175.6033269,
,,,10/01/2020,12:00:00,2458859.00,0.20024641,,289.4912644,7566.209564,0.016700211,0.211376808,289.7026412,7566.420941,0.983402117,289.6922147,23.43668707,23.43634246,-68.69028357,-21.99151219,0.043023395,-7.310908828,69.10207645,12:17:40,7:41:16,16:54:05,552.8166116,702.3290912,-4.417727207,65.23845487,24.76154513,0.034792409,24.79633754,175.4887677,
,,,11/01/2020,12:00:00,2458860.00,0.20027379,,290.4769118,7567.195165,0.01670021,0.244752135,290.7216639,7567.439917,0.983436787,290.7112368,23.43668671,23.43634445,-67.60398211,-21.84065412,0.043023402,-7.713820816,69.27627428,12:18:04,7:40:58,16:55:11,554.2101942,701.9261792,-4.518455204,65.09374856,24.90625144,0.03456519,24.94081663,175.3755841,
,,,12/01/2020,12:00:00,2458861.00,0.20030116,,291.4625591,7568.180765,0.016700209,0.278050377,291.7406095,7568.458815,0.983476523,291.7301818,23.43668636,23.43634644,-66.52010652,-21.68271142,0.04302341,-8.107183017,69.45805534,12:18:28,7:40:38,16:56:18,555.6644427,701.532817,-4.616795754,64.94198794,25.05801206,0.034329481,25.09234154,175.2638581,
,,,13/01/2020,12:00:00,2458862.00,0.20032854,,292.4482065,7569.166365,0.016700208,0.311261061,292.7594676,7569.477626,0.983521312,292.7490393,23.436686,23.43634843,-65.43874964,-21.51775948,0.043023417,-8.490619712,69.64725969,12:18:51,7:40:16,16:57:26,557.1780775,701.1493803,-4.712654928,64.78323522,25.21676478,0.034085697,25.25085048,175.1536707,
,,,14/01/2020,12:00:00,2458863.00,0.20035592,,293.4338539,7570.151965,0.016700207,0.344373747,293.7782276,7570.496339,0.983571141,293.7677988,23.43668565,23.43635042,-64.35999993,-21.34587657,0.043023425,-8.863771259,69.84372379,12:19:13,7:39:51,16:58:36,558.7497903,700.7762287,-4.805942815,64.61755536,25.38244464,0.033834256,25.41627889,175.045101,
